names,districts
Appling,2
Atkinson,2
Bacon,2
Baker,3
Baldwin,10
Banks,8
Barrow,8
Bartow,5
Ben Hill,2
Berrien,2
Bibb,4
Bleckley,2
Brantley,1
Brooks,2
Bryan,1
Bulloch,2
Burke,10
Butts,10
Calhoun,3
Camden,1
Candler,2
Carroll,5
Catoosa,6
Charlton,1
Chatham,1
Chattahoochee,3
Chattooga,6
Cherokee,6
Clarke,8
Clay,3
Clayton,11
Clinch,2
Cobb,13
Cobb2,13
Coffee,2
Colquitt,3
Columbia,10
Cook,2
Coweta,12
Crawford,4
Crisp,2
Dade,6
Dawson,7
Decatur,3
DeKalb,14
Dekalb2,11
Dodge,2
Dooly,3
Dougherty,3
Douglas,5
Early,3
Echols,2
Effingham,1
Elbert,8
Emanuel,2
Evans,2
Fannin,6
Fayette,11
Floyd,5
Forsyth,7
Franklin,8
Fulton,14
Fulton2,12
Gilmer,6
Glascock,10
Glynn,1
Gordon,6
Grady,3
Greene,10
Gwinnett,7
Gwinnett2,9
Habersham,8
Hall,8
Hancock,10
Haralson,5
Harris,4
Hart,8
Heard,12
Henry,4
Houston,4
Irwin,2
Jackson,8
Jasper,10
Jeff Davis,2
Jefferson,10
Jenkins,2
Johnson,10
Jones,10
Lamar,4
Lanier,2
Laurens,2
Lee,3
Liberty,1
Lincoln,10
Long,1
Lowndes,2
Lumpkin,7
Macon,3
Madison,8
Marion,3
McDuffie,10
McIntosh,1
Meriwether,4
Miller,3
Mitchell,3
Monroe,10
Montgomery,2
Morgan,10
Murray,6
Muscogee,3
Newton,9
Oconee,8
Oglethorpe,10
Paulding,5
Peach,3
Pickens,7
Pierce,1
Pike,4
Polk,5
Pulaski,2
Putnam,10
Quitman,3
Rabun,8
Randolph,3
Richmond,10
Rockdale,9
Schley,3
Screven,2
Seminole,3
Spalding,4
Stephens,8
Stewart,3
Sumter,3
Talbot,4
Taliaferro,10
Tattnall,2
Taylor,3
Telfair,2
Terrell,3
Thomas,3
Tift,2
Toombs,2
Towns,8
Treutlen,2
Troup,12
Turner,2
Twiggs,10
Union,6
Upson,4
Walker,6
Walton,9
Ware,1
Warren,10
Washington,10
Wayne,1
Webster,3
Wheeler,2
White,6
Whitfield,6
Wilcox,2
Wilkes,10
Wilkinson,10
Worth,3
