names,district
Appling,14
Atkinson,1
Bacon,1
Baker,5
Baldwin,3
Banks,7
Barrow,10
Bartow,6
Ben Hill,1
Berrien,1
Bibb,8
Bleckley,1
Brantley,14
Brooks,1
Bryan,1
Bulloch,1
Burke,3
Butts,3
Calhoun,5
Camden,14
Candler,1
Carroll,6
Catoosa,2
Charlton,14
Chatham,14
Chattahoochee,5
Chattooga,2
Cherokee,2
Clarke,10
Clay,5
Clayton,9
Clinch,1
Cobb,11
Coffee,1
Colquitt,5
Columbia,3
Cook,1
Coweta,12
Crawford,8
Crisp,1
Dade,2
Dawson,2
Decatur,5
DeKalb,9
Dodge,1
Dooly,5
Dougherty,5
Douglas,6
Early,5
Echols,1
Effingham,14
Elbert,7
Emanuel,1
Evans,1
Fannin,2
Fayette,9
Floyd,6
Forsyth,2
Franklin,7
Fulton,4
Gilmer,2
Glascock,3
Glynn,14
Gordon,10
Grady,5
Greene,3
Gwinnett,13
Habersham,7
Hall,10
Hancock,3
Haralson,6
Harris,8
Hart,7
Heard,12
Henry,8
Houston,8
Irwin,1
Jackson,7
Jasper,3
Jeff Davis,1
Jefferson,3
Jenkins,14
Johnson,3
Jones,3
Lamar,8
Lanier,1
Laurens,1
Lee,5
Liberty,14
Lincoln,3
Long,1
Lowndes,1
Lumpkin,10
Macon,5
Madison,10
Marion,5
McDuffie,3
McIntosh,14
Meriwether,8
Miller,5
Mitchell,5
Monroe,3
Montgomery,1
Morgan,3
Murray,10
Muscogee,5
Newton,13
Oconee,7
Oglethorpe,3
Paulding,6
Peach,5
Pickens,10
Pierce,14
Pike,8
Polk,6
Pulaski,1
Putnam,3
Quitman,5
Rabun,10
Randolph,5
Richmond,3
Rockdale,13
Schley,5
Screven,14
Seminole,5
Spalding,8
Stephens,7
Stewart,5
Sumter,5
Talbot,8
Taliaferro,3
Tattnall,1
Taylor,5
Telfair,1
Terrell,5
Thomas,5
Tift,1
Toombs,1
Towns,10
Treutlen,3
Troup,12
Turner,1
Twiggs,3
Union,2
Upson,8
Walker,2
Walton,13
Ware,14
Warren,3
Washington,3
Wayne,14
Webster,5
Wheeler,1
White,7
Whitfield,10
Wilcox,1
Wilkes,3
Wilkinson,3
Worth,5
Cobb2,11
Dekalb2,4
Fulton2,12
Gwinnett2,7
